crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2013-20,text/turtle,455,442,0.0000
CC-MAIN-2013-20,text/vcard,1490,1434,0.0001
CC-MAIN-2013-20,text/x-bibtex,24374,24210,0.0014
CC-MAIN-2013-20,text/x-c,5023,4888,0.0003
CC-MAIN-2013-20,text/x-csrc,5938,5865,0.0003
CC-MAIN-2013-20,text/x-diff,19403,19028,0.0011
CC-MAIN-2013-20,text/x-patch,70795,70185,0.0039
CC-MAIN-2013-20,text/x-perl,21864,21723,0.0012
CC-MAIN-2013-20,text/x-vcalendar,81742,79297,0.0046
CC-MAIN-2013-20,text/x-vcard,48237,46951,0.0027
CC-MAIN-2013-20,text/xml,9857229,9516945,0.5488
CC-MAIN-2013-20,unknown/unknown,278946,271527,0.0155
CC-MAIN-2013-20,video/mp4,5171,5047,0.0003
CC-MAIN-2013-20,video/webm,4407,4266,0.0002
CC-MAIN-2013-20,video/x-ms-asf,130823,114508,0.0073
CC-MAIN-2013-48,<other>,1961401,1869185,0.0873
CC-MAIN-2013-48,application/atom+xml,2438365,2414438,0.1086
CC-MAIN-2013-48,application/download,56758,54904,0.0025
CC-MAIN-2013-48,application/epub+zip,65482,59149,0.0029
CC-MAIN-2013-48,application/force-download,30325,28619,0.0014
CC-MAIN-2013-48,application/javascript,414,372,0.0000
CC-MAIN-2013-48,application/json,256056,248509,0.0114
CC-MAIN-2013-48,application/ld+json,5,5,0.0000
CC-MAIN-2013-48,application/marc,22395,22316,0.0010
CC-MAIN-2013-48,application/msword,103656,97445,0.0046
CC-MAIN-2013-48,application/octet-stream,809094,782347,0.0360
CC-MAIN-2013-48,application/octetstream,14431,14181,0.0006
CC-MAIN-2013-48,application/pdf,3508137,3278175,0.1562
CC-MAIN-2013-48,application/pgp-encrypted,34639,32783,0.0015
CC-MAIN-2013-48,application/pgp-signature,16390,16180,0.0007
CC-MAIN-2013-48,application/postscript,5634,5482,0.0003
CC-MAIN-2013-48,application/rdf+xml,82396,81307,0.0037
CC-MAIN-2013-48,application/rss+xml,3766716,3576283,0.1677
CC-MAIN-2013-48,application/rtf,1316,1248,0.0001
CC-MAIN-2013-48,application/save-to-disk,37006,36650,0.0016
CC-MAIN-2013-48,application/text,22293,22116,0.0010
CC-MAIN-2013-48,application/unknown,9902,9733,0.0004
CC-MAIN-2013-48,application/vnd.android.package-archive,1079,1062,0.0000
CC-MAIN-2013-48,application/vnd.google-earth.kml+xml,194922,187921,0.0087
CC-MAIN-2013-48,application/vnd.google-earth.kmz,35606,35101,0.0016
CC-MAIN-2013-48,application/vnd.ms-excel,83815,81698,0.0037
CC-MAIN-2013-48,application/vnd.ms-powerpoint,92892,79824,0.0041
CC-MAIN-2013-48,application/vnd.ms-word,20416,19607,0.0009
CC-MAIN-2013-48,application/vnd.oasis.opendocument.text,2242,2162,0.0001
