crawl,charset,pages,urls,%pages/crawl
CC-MAIN-2018-51,ISO-8859-1,165450495,164209215,5.2287
CC-MAIN-2018-51,ISO-8859-13,11879,11863,0.0004
CC-MAIN-2018-51,ISO-8859-15,7416805,7356975,0.2344
CC-MAIN-2018-51,ISO-8859-2,9324792,9288112,0.2947
CC-MAIN-2018-51,ISO-8859-3,8774,8519,0.0003
CC-MAIN-2018-51,ISO-8859-4,38938,38465,0.0012
CC-MAIN-2018-51,ISO-8859-5,70744,70595,0.0022
CC-MAIN-2018-51,ISO-8859-6,5659,5583,0.0002
CC-MAIN-2018-51,ISO-8859-7,685186,682886,0.0217
CC-MAIN-2018-51,ISO-8859-8,38166,37985,0.0012
CC-MAIN-2018-51,ISO-8859-9,1930121,1919080,0.0610
CC-MAIN-2018-51,KOI8-R,537503,535927,0.0170
CC-MAIN-2018-51,KOI8-U,11745,11733,0.0004
CC-MAIN-2018-51,Shift_JIS,19098046,18951922,0.6036
CC-MAIN-2018-51,TIS-620,534131,530719,0.0169
CC-MAIN-2018-51,US-ASCII,1189365,1184488,0.0376
CC-MAIN-2018-51,UTF-16,104806,103897,0.0033
CC-MAIN-2018-51,UTF-16BE,2022,2006,0.0001
CC-MAIN-2018-51,UTF-16LE,89907,89319,0.0028
CC-MAIN-2018-51,UTF-32,3001,2973,0.0001
CC-MAIN-2018-51,UTF-8,2709480994,2675024546,85.6280
CC-MAIN-2018-51,windows-1250,5520909,5484030,0.1745
CC-MAIN-2018-51,windows-1251,63095858,62861645,1.9940
CC-MAIN-2018-51,windows-1252,32645988,32373077,1.0317
CC-MAIN-2018-51,windows-1253,200227,199112,0.0063
CC-MAIN-2018-51,windows-1254,1170301,1162882,0.0370
CC-MAIN-2018-51,windows-1255,571370,568689,0.0181
CC-MAIN-2018-51,windows-1256,5537481,5526621,0.1750
CC-MAIN-2018-51,windows-1257,362375,361109,0.0115
CC-MAIN-2018-51,windows-1258,1989,1948,0.0001
CC-MAIN-2018-51,windows-31j,52007,51652,0.0016
CC-MAIN-2018-51,x-IBM949,446,442,0.0000
CC-MAIN-2018-51,x-MacCyrillic,183894,183394,0.0058
CC-MAIN-2018-51,x-iso-8859-11,1976,1971,0.0001
CC-MAIN-2018-51,x-windows-874,553449,551004,0.0175
CC-MAIN-2018-51,x-windows-949,755,752,0.0000
CC-MAIN-2018-51,x-windows-950,178,178,0.0000
CC-MAIN-2019-04,<other>,964,955,0.0000
CC-MAIN-2019-04,<unknown>,56503746,56503746,1.9553
CC-MAIN-2019-04,Big5,2878045,2871541,0.0996
CC-MAIN-2019-04,Big5-HKSCS,7104,7100,0.0002
CC-MAIN-2019-04,EUC-JP,10508300,10442940,0.3636
CC-MAIN-2019-04,EUC-KR,4795172,4786966,0.1659
CC-MAIN-2019-04,GB18030,1680438,1675010,0.0582
CC-MAIN-2019-04,GB2312,27128941,27048116,0.9388
CC-MAIN-2019-04,GBK,13403477,13249104,0.4638
CC-MAIN-2019-04,IBM855,6424,6409,0.0002
CC-MAIN-2019-04,IBM866,28380,28250,0.0010
CC-MAIN-2019-04,ISO-2022-JP,29239,29129,0.0010
CC-MAIN-2019-04,ISO-8859-1,136386399,135497182,4.7197
CC-MAIN-2019-04,ISO-8859-13,10370,10364,0.0004
CC-MAIN-2019-04,ISO-8859-15,6704567,6663103,0.2320
CC-MAIN-2019-04,ISO-8859-2,8600526,8572722,0.2976
CC-MAIN-2019-04,ISO-8859-3,7482,7454,0.0003
CC-MAIN-2019-04,ISO-8859-4,31424,31155,0.0011
CC-MAIN-2019-04,ISO-8859-5,52251,52151,0.0018
CC-MAIN-2019-04,ISO-8859-6,5390,5333,0.0002
CC-MAIN-2019-04,ISO-8859-7,612931,611640,0.0212
CC-MAIN-2019-04,ISO-8859-8,33345,33179,0.0012
CC-MAIN-2019-04,ISO-8859-9,1762983,1750864,0.0610
CC-MAIN-2019-04,KOI8-R,462591,461567,0.0160
CC-MAIN-2019-04,KOI8-U,6379,6366,0.0002
CC-MAIN-2019-04,Shift_JIS,13894174,13782816,0.4808
CC-MAIN-2019-04,TIS-620,497731,495783,0.0172
CC-MAIN-2019-04,US-ASCII,911526,908432,0.0315
CC-MAIN-2019-04,UTF-16,96192,95614,0.0033
CC-MAIN-2019-04,UTF-16BE,3482,3470,0.0001
CC-MAIN-2019-04,UTF-16LE,78727,78283,0.0027
CC-MAIN-2019-04,UTF-32,1752,1747,0.0001
CC-MAIN-2019-04,UTF-8,2513543714,2488208780,86.9821
CC-MAIN-2019-04,windows-1250,4940236,4902965,0.1710
CC-MAIN-2019-04,windows-1251,52540303,52361966,1.8182
CC-MAIN-2019-04,windows-1252,23687194,23512000,0.8197
CC-MAIN-2019-04,windows-1253,160253,159449,0.0055
CC-MAIN-2019-04,windows-1254,1056744,1048268,0.0366
CC-MAIN-2019-04,windows-1255,577473,573752,0.0200
CC-MAIN-2019-04,windows-1256,5091584,5084020,0.1762
CC-MAIN-2019-04,windows-1257,313376,312112,0.0108
CC-MAIN-2019-04,windows-1258,1549,1541,0.0001
CC-MAIN-2019-04,windows-31j,34902,34751,0.0012
CC-MAIN-2019-04,x-IBM949,364,344,0.0000
CC-MAIN-2019-04,x-MacCyrillic,155159,154951,0.0054
CC-MAIN-2019-04,x-iso-8859-11,1823,1818,0.0001
CC-MAIN-2019-04,x-windows-874,489725,488206,0.0169
CC-MAIN-2019-04,x-windows-949,1530,1527,0.0001
CC-MAIN-2019-04,x-windows-950,261,260,0.0000
CC-MAIN-2019-09,<other>,1937,1931,0.0001
CC-MAIN-2019-09,<unknown>,73070673,73070673,2.5078
CC-MAIN-2019-09,Big5,2309155,2304493,0.0793
CC-MAIN-2019-09,Big5-HKSCS,10904,10902,0.0004
CC-MAIN-2019-09,EUC-JP,10037847,9987065,0.3445
CC-MAIN-2019-09,EUC-KR,5151976,5144548,0.1768
CC-MAIN-2019-09,GB18030,2492998,2487624,0.0856
CC-MAIN-2019-09,GB2312,31674710,31561548,1.0871
CC-MAIN-2019-09,GBK,14497541,14438247,0.4976
CC-MAIN-2019-09,IBM855,8107,8090,0.0003
CC-MAIN-2019-09,IBM866,38197,38113,0.0013
CC-MAIN-2019-09,ISO-2022-JP,52718,52570,0.0018
CC-MAIN-2019-09,ISO-8859-1,138321842,137383366,4.7472
CC-MAIN-2019-09,ISO-8859-13,12181,12173,0.0004
CC-MAIN-2019-09,ISO-8859-15,5747873,5699996,0.1973
CC-MAIN-2019-09,ISO-8859-2,6815550,6787862,0.2339
CC-MAIN-2019-09,ISO-8859-3,7879,7861,0.0003
CC-MAIN-2019-09,ISO-8859-4,36292,36120,0.0012
CC-MAIN-2019-09,ISO-8859-5,39640,39473,0.0014
CC-MAIN-2019-09,ISO-8859-6,7344,7289,0.0003
CC-MAIN-2019-09,ISO-8859-7,478358,476736,0.0164
CC-MAIN-2019-09,ISO-8859-8,40576,40433,0.0014
CC-MAIN-2019-09,ISO-8859-9,1736351,1728776,0.0596
CC-MAIN-2019-09,KOI8-R,444018,442834,0.0152
CC-MAIN-2019-09,KOI8-U,9516,9466,0.0003
CC-MAIN-2019-09,Shift_JIS,16108058,16021754,0.5528
CC-MAIN-2019-09,TIS-620,508480,504974,0.0175
CC-MAIN-2019-09,US-ASCII,1346025,1341118,0.0462
CC-MAIN-2019-09,UTF-16,88134,87577,0.0030
CC-MAIN-2019-09,UTF-16BE,1883,1871,0.0001
CC-MAIN-2019-09,UTF-16LE,72702,71939,0.0025
CC-MAIN-2019-09,UTF-32,2404,2399,0.0001
CC-MAIN-2019-09,UTF-8,2509946310,2483068828,86.1419
CC-MAIN-2019-09,windows-1250,5160717,5124276,0.1771
CC-MAIN-2019-09,windows-1251,53727061,53506185,1.8439
CC-MAIN-2019-09,windows-1252,26780002,26613572,0.9191
CC-MAIN-2019-09,windows-1253,201865,201148,0.0069
CC-MAIN-2019-09,windows-1254,1108301,1103985,0.0380
CC-MAIN-2019-09,windows-1255,589639,587888,0.0202
CC-MAIN-2019-09,windows-1256,3915782,3904965,0.1344
CC-MAIN-2019-09,windows-1257,311587,310223,0.0107
CC-MAIN-2019-09,windows-1258,2417,2406,0.0001
CC-MAIN-2019-09,windows-31j,37304,37078,0.0013
CC-MAIN-2019-09,x-IBM949,332,330,0.0000
CC-MAIN-2019-09,x-MacCyrillic,171504,171205,0.0059
CC-MAIN-2019-09,x-iso-8859-11,1665,1661,0.0001
CC-MAIN-2019-09,x-windows-874,605446,603414,0.0208
CC-MAIN-2019-09,x-windows-949,1066,1065,0.0000
CC-MAIN-2019-09,x-windows-950,555,554,0.0000
CC-MAIN-2019-13,<other>,2000,1991,0.0001
CC-MAIN-2019-13,<unknown>,51039369,51039369,1.9862
CC-MAIN-2019-13,Big5,2275470,2270015,0.0886
CC-MAIN-2019-13,Big5-HKSCS,9866,9855,0.0004
CC-MAIN-2019-13,EUC-JP,8374619,8328170,0.3259
CC-MAIN-2019-13,EUC-KR,4121011,4115401,0.1604
CC-MAIN-2019-13,GB18030,1690480,1681689,0.0658
CC-MAIN-2019-13,GB2312,29370741,29115261,1.1430
CC-MAIN-2019-13,GBK,15298597,15210826,0.5953
CC-MAIN-2019-13,IBM855,7419,7402,0.0003
CC-MAIN-2019-13,IBM866,23682,23623,0.0009
CC-MAIN-2019-13,ISO-2022-JP,57461,57321,0.0022
CC-MAIN-2019-13,ISO-8859-1,121960972,121028763,4.7462
CC-MAIN-2019-13,ISO-8859-13,9299,9285,0.0004
CC-MAIN-2019-13,ISO-8859-15,4314702,4271842,0.1679
CC-MAIN-2019-13,ISO-8859-2,5778135,5751412,0.2249
CC-MAIN-2019-13,ISO-8859-3,7298,7274,0.0003
CC-MAIN-2019-13,ISO-8859-4,25136,24935,0.0010
CC-MAIN-2019-13,ISO-8859-5,42243,42083,0.0016
CC-MAIN-2019-13,ISO-8859-6,6892,6844,0.0003
CC-MAIN-2019-13,ISO-8859-7,396305,395256,0.0154
CC-MAIN-2019-13,ISO-8859-8,28807,28593,0.0011
CC-MAIN-2019-13,ISO-8859-9,1385891,1378977,0.0539
CC-MAIN-2019-13,KOI8-R,418342,410410,0.0163
CC-MAIN-2019-13,KOI8-U,6506,6487,0.0003
CC-MAIN-2019-13,Shift_JIS,14498097,14418204,0.5642
CC-MAIN-2019-13,TIS-620,403444,400940,0.0157
CC-MAIN-2019-13,US-ASCII,1353350,1347901,0.0527
CC-MAIN-2019-13,UTF-16,88761,88351,0.0035
CC-MAIN-2019-13,UTF-16BE,2728,2638,0.0001
CC-MAIN-2019-13,UTF-16LE,74555,74146,0.0029
CC-MAIN-2019-13,UTF-32,1648,1642,0.0001
CC-MAIN-2019-13,UTF-8,2229318573,2204827915,86.7547
CC-MAIN-2019-13,windows-1250,4367320,4342789,0.1700
CC-MAIN-2019-13,windows-1251,42941566,42731991,1.6711
CC-MAIN-2019-13,windows-1252,24382413,24184972,0.9488
CC-MAIN-2019-13,windows-1253,177777,176871,0.0069
CC-MAIN-2019-13,windows-1254,957525,951762,0.0373
CC-MAIN-2019-13,windows-1255,537691,535663,0.0209
CC-MAIN-2019-13,windows-1256,2975271,2965100,0.1158
CC-MAIN-2019-13,windows-1257,224432,223975,0.0087
CC-MAIN-2019-13,windows-1258,1837,1828,0.0001
CC-MAIN-2019-13,windows-31j,34861,34462,0.0014
