crawl,primary_language,pages,urls,%pages/crawl
CC-MAIN-2018-39,pol,47931208,47490515,1.6870
CC-MAIN-2018-39,por,57804447,57212159,2.0345
CC-MAIN-2018-39,pus,112333,106719,0.0040
CC-MAIN-2018-39,que,22200,22096,0.0008
CC-MAIN-2018-39,roh,31146,30912,0.0011
CC-MAIN-2018-39,ron,15424255,15294875,0.5429
CC-MAIN-2018-39,run,3966,3921,0.0001
CC-MAIN-2018-39,rus,261423303,259910412,9.2012
CC-MAIN-2018-39,sag,782,777,0.0000
CC-MAIN-2018-39,san,57625,57369,0.0020
CC-MAIN-2018-39,sco,22260,21985,0.0008
CC-MAIN-2018-39,sin,196037,193379,0.0069
CC-MAIN-2018-39,slk,6955199,6878393,0.2448
CC-MAIN-2018-39,slv,2976912,2947343,0.1048
CC-MAIN-2018-39,smo,14343,14272,0.0005
CC-MAIN-2018-39,sna,11159,10610,0.0004
CC-MAIN-2018-39,snd,50761,42899,0.0018
CC-MAIN-2018-39,som,136716,135034,0.0048
CC-MAIN-2018-39,sot,7811,7721,0.0003
CC-MAIN-2018-39,spa,124112999,122557038,4.3683
CC-MAIN-2018-39,sqi,980564,953791,0.0345
CC-MAIN-2018-39,srp,4534019,4493095,0.1596
CC-MAIN-2018-39,ssw,1238,1197,0.0000
CC-MAIN-2018-39,sun,17175,17125,0.0006
CC-MAIN-2018-39,sux,141,141,0.0000
CC-MAIN-2018-39,swa,209199,205969,0.0074
CC-MAIN-2018-39,swe,21120431,20849808,0.7434
CC-MAIN-2018-39,syr,11514,11457,0.0004
CC-MAIN-2018-39,tam,1454180,1420041,0.0512
CC-MAIN-2018-39,tat,193388,192717,0.0068
CC-MAIN-2018-39,tel,482809,472617,0.0170
CC-MAIN-2018-39,tgk,132565,132035,0.0047
CC-MAIN-2018-39,tgl,193633,190758,0.0068
CC-MAIN-2018-39,tha,8253600,8193071,0.2905
CC-MAIN-2018-39,tir,11698,11610,0.0004
CC-MAIN-2018-39,ton,3305,3278,0.0001
CC-MAIN-2018-39,tsn,23974,23922,0.0008
CC-MAIN-2018-39,tso,2358,2317,0.0001
CC-MAIN-2018-39,tuk,39655,39527,0.0014
CC-MAIN-2018-39,tur,27018865,26762334,0.9510
CC-MAIN-2018-39,uig,19837,19801,0.0007
CC-MAIN-2018-39,ukr,11360127,11289655,0.3998
