domain,pages,urls,hosts,%pages,%urls
intuit.com,126127,125336,72,0.004654,0.004654
wikireading.ru,126082,126074,33,0.004653,0.004682
aalto.fi,125683,124909,194,0.004638,0.004638
blog.hu,125300,125296,1031,0.004624,0.004653
aleteia.org,125226,125183,29,0.004621,0.004649
yorku.ca,124876,124335,490,0.004608,0.004617
unblog.fr,124615,124572,1498,0.004599,0.004626
googleusercontent.com,124487,124430,1240,0.004594,0.004621
shop-pro.jp,124319,124144,1929,0.004588,0.004610
windows.net,123970,123866,2810,0.004575,0.004600
vk.com,123926,123159,24,0.004573,0.004573
advfn.com,123138,121181,16,0.004544,0.004500
sputniknews.ru,122811,119492,9,0.004532,0.004437
sogou.com,122722,122573,36,0.004529,0.004552
motorsport.com,122523,122463,24,0.004521,0.004548
vt.edu,122400,121379,720,0.004517,0.004507
kompas.com,122322,121771,77,0.004514,0.004522
marketscreener.com,122251,122051,11,0.004511,0.004532
challonge.com,121997,44994,322,0.004502,0.001671
pravda.sk,121591,120849,946,0.004487,0.004488
uiowa.edu,120269,119734,777,0.004438,0.004446
freelancer.com,120198,119770,11,0.004436,0.004448
uni-bonn.de,119761,119274,301,0.004419,0.004429
ufsc.br,119729,118923,1125,0.004418,0.004416
elte.hu,119706,119587,551,0.004417,0.004441
uab.cat,119640,119532,120,0.004415,0.004439
uma.es,119543,119369,260,0.004411,0.004433
ntu.edu.tw,119408,119004,540,0.004406,0.004419
sagepub.com,119342,119037,36,0.004404,0.004420
online.fr,119289,119267,332,0.004402,0.004429
businessinsider.com,119223,117884,12,0.004400,0.004378
myblog.it,119207,119010,359,0.004399,0.004419
bris.ac.uk,118911,118875,36,0.004388,0.004414
su.se,118744,103091,153,0.004382,0.003828
kaist.ac.kr,118382,118227,201,0.004369,0.004390
findlaw.com,118172,117243,16,0.004361,0.004354
ucl.ac.uk,118005,117153,169,0.004355,0.004350
badmintongwb.de,117934,100147,100147,0.004352,0.003719
eldiario.es,117924,116446,26,0.004352,0.004324
nuget.org,117886,117442,10,0.004350,0.004361
uct.ac.za,117555,117314,136,0.004338,0.004356
uni-lj.si,117472,116704,317,0.004335,0.004334
people.com.cn,116805,116738,148,0.004310,0.004335
cookie-ninja.de,116639,99274,99274,0.004304,0.003686
sub.jp,116474,116328,624,0.004298,0.004320
kbo-su.de,116450,99094,99094,0.004297,0.003680
siemens.com,116406,114067,101,0.004296,0.004236
google.co.jp,116364,116217,17,0.004294,0.004316
postweg.eu,116163,98761,98760,0.004287,0.003667
co.ua,116100,115950,238,0.004284,0.004306
nakrizovatce.eu,115861,98665,98665,0.004276,0.003664
bvbwagenfeld.de,115692,98543,98543,0.004269,0.003659
in.gov,115418,114698,240,0.004259,0.004259
android.com,115355,107217,11,0.004257,0.003981
st-andrews.ac.uk,115225,114951,363,0.004252,0.004269
billard-index.de,114844,98208,98208,0.004238,0.003647
edu.ru,114745,114472,423,0.004234,0.004251
qualcosadibuono.eu,114711,97991,97991,0.004233,0.003639
idnes.cz,114659,112844,1103,0.004231,0.004190
cdc.gov,114300,113521,77,0.004218,0.004215
um.es,114188,113769,63,0.004214,0.004225
csdn.net,114163,114126,74,0.004213,0.004238
senate.gov,114117,112969,133,0.004211,0.004195
hatenadiary.jp,113775,113599,814,0.004199,0.004218
news12.com,113207,113082,13,0.004178,0.004199
msu.ru,113108,112963,462,0.004174,0.004195
eclipse.org,113059,112351,27,0.004172,0.004172
unisa.it,112676,112662,127,0.004158,0.004184
uni-stuttgart.de,112646,112479,320,0.004157,0.004177
uw.edu.pl,112457,111938,565,0.004150,0.004157
maryland.gov,112338,111856,188,0.004146,0.004154
kernel.org,111982,111958,35,0.004132,0.004157
vnexpress.net,111874,111280,13,0.004128,0.004132
orange.fr,111768,100631,103,0.004124,0.003737
tiktok.com,111650,110963,45,0.004120,0.004121
netbsd.org,111290,111224,47,0.004107,0.004130
kremlin.ru,111163,110162,24,0.004102,0.004091
pucp.edu.pe,111142,110875,157,0.004101,0.004117
bubblelife.com,110950,107983,276,0.004094,0.004010
blizzard.com,110826,109921,35,0.004090,0.004082
ugr.es,110719,110249,400,0.004086,0.004094
riken.jp,110682,110631,179,0.004084,0.004108
ulisboa.pt,110585,110327,410,0.004081,0.004097
omeka.net,110189,110159,719,0.004066,0.004091
archlinux.org,109802,108954,20,0.004052,0.004046
