,crawl,date,type,size
1243,CC-MAIN-2019-09,2019-02-25,redir_perm,406884827
1244,CC-MAIN-2019-09,2019-02-25,notmodified,1190927396
1245,CC-MAIN-2019-09,2019-02-25,duplicate,698261708
1246,CC-MAIN-2019-09,2019-02-25,orphan,936393300
1278,CC-MAIN-2019-13,2019-03-25,unfetched,1139021514
1279,CC-MAIN-2019-13,2019-03-25,fetched,6176794401
1280,CC-MAIN-2019-13,2019-03-25,gone,696242905
1281,CC-MAIN-2019-13,2019-03-25,redir_temp,208862069
1282,CC-MAIN-2019-13,2019-03-25,redir_perm,417564787
1283,CC-MAIN-2019-13,2019-03-25,notmodified,1102153249
1284,CC-MAIN-2019-13,2019-03-25,duplicate,729892836
1285,CC-MAIN-2019-13,2019-03-25,orphan,780161187
1317,CC-MAIN-2019-18,2019-04-29,unfetched,1280576094
1318,CC-MAIN-2019-18,2019-04-29,fetched,6263847783
1319,CC-MAIN-2019-18,2019-04-29,gone,822023933
1320,CC-MAIN-2019-18,2019-04-29,redir_temp,232145284
1321,CC-MAIN-2019-18,2019-04-29,redir_perm,481305946
1322,CC-MAIN-2019-18,2019-04-29,notmodified,977869468
1323,CC-MAIN-2019-18,2019-04-29,duplicate,839762605
1324,CC-MAIN-2019-18,2019-04-29,orphan,488404518
1356,CC-MAIN-2019-22,2019-05-27,unfetched,1688179467
1357,CC-MAIN-2019-22,2019-05-27,fetched,6436633894
1358,CC-MAIN-2019-22,2019-05-27,gone,908236787
1359,CC-MAIN-2019-22,2019-05-27,redir_temp,248194659
1360,CC-MAIN-2019-22,2019-05-27,redir_perm,508349132
1361,CC-MAIN-2019-22,2019-05-27,notmodified,1009185939
1362,CC-MAIN-2019-22,2019-05-27,duplicate,890709906
1363,CC-MAIN-2019-22,2019-05-27,orphan,511963008
1395,CC-MAIN-2019-26,2019-06-24,unfetched,1884854667
1396,CC-MAIN-2019-26,2019-06-24,fetched,6853556704
1397,CC-MAIN-2019-26,2019-06-24,gone,985558590
1398,CC-MAIN-2019-26,2019-06-24,redir_temp,264147107
1399,CC-MAIN-2019-26,2019-06-24,redir_perm,528524214
1400,CC-MAIN-2019-26,2019-06-24,notmodified,1061494785
1401,CC-MAIN-2019-26,2019-06-24,duplicate,931485445
1402,CC-MAIN-2019-26,2019-06-24,orphan,527918806
1434,CC-MAIN-2019-30,2019-07-22,unfetched,2021409884
1435,CC-MAIN-2019-30,2019-07-22,fetched,7246547798
1436,CC-MAIN-2019-30,2019-07-22,gone,1030766061
1437,CC-MAIN-2019-30,2019-07-22,redir_temp,288914603
1438,CC-MAIN-2019-30,2019-07-22,redir_perm,542398939
1439,CC-MAIN-2019-30,2019-07-22,notmodified,1145032006
1440,CC-MAIN-2019-30,2019-07-22,duplicate,964983816
1441,CC-MAIN-2019-30,2019-07-22,orphan,617334200
1473,CC-MAIN-2019-35,2019-08-26,unfetched,2526865067
1474,CC-MAIN-2019-35,2019-08-26,fetched,7491382315
1475,CC-MAIN-2019-35,2019-08-26,gone,1105748670
1476,CC-MAIN-2019-35,2019-08-26,redir_temp,312424161
1477,CC-MAIN-2019-35,2019-08-26,redir_perm,557313735
1478,CC-MAIN-2019-35,2019-08-26,notmodified,1205640260
1479,CC-MAIN-2019-35,2019-08-26,duplicate,1010596007
1480,CC-MAIN-2019-35,2019-08-26,orphan,814889913
1512,CC-MAIN-2019-39,2019-09-23,unfetched,2773144885
1513,CC-MAIN-2019-39,2019-09-23,fetched,7997105323
1514,CC-MAIN-2019-39,2019-09-23,gone,1152617938
1515,CC-MAIN-2019-39,2019-09-23,redir_temp,337499877
1516,CC-MAIN-2019-39,2019-09-23,redir_perm,563615673
1517,CC-MAIN-2019-39,2019-09-23,notmodified,1272930097
1518,CC-MAIN-2019-39,2019-09-23,duplicate,1039576970
1519,CC-MAIN-2019-39,2019-09-23,orphan,742899343
1551,CC-MAIN-2019-43,2019-10-21,unfetched,3171767084
1552,CC-MAIN-2019-43,2019-10-21,fetched,8653065594
1553,CC-MAIN-2019-43,2019-10-21,gone,1268407594
1554,CC-MAIN-2019-43,2019-10-21,redir_temp,369862514
1555,CC-MAIN-2019-43,2019-10-21,redir_perm,601122155
1556,CC-MAIN-2019-43,2019-10-21,notmodified,1319238638
1557,CC-MAIN-2019-43,2019-10-21,duplicate,1131007554
1558,CC-MAIN-2019-43,2019-10-21,orphan,494661246
1590,CC-MAIN-2019-47,2019-11-18,unfetched,3255362969
1591,CC-MAIN-2019-47,2019-11-18,fetched,9323271514
1592,CC-MAIN-2019-47,2019-11-18,gone,1396469513
1593,CC-MAIN-2019-47,2019-11-18,redir_temp,412574427
1594,CC-MAIN-2019-47,2019-11-18,redir_perm,650839553
1595,CC-MAIN-2019-47,2019-11-18,notmodified,1346940424
1596,CC-MAIN-2019-47,2019-11-18,duplicate,1238571606
1597,CC-MAIN-2019-47,2019-11-18,orphan,680005031
1630,CC-MAIN-2019-51,2019-12-16,unfetched,3196755577
