,crawl,size,percentage,type
2122,CC-MAIN-2021-17,146578815,3.738395143596207,skipped
2150,CC-MAIN-2021-21,2631391117,71.75146972934378,success
2151,CC-MAIN-2021-21,12291299,0.33515305362065395,notmodified
2153,CC-MAIN-2021-21,356336783,9.716414915934461,redirect
2156,CC-MAIN-2021-21,289983197,7.907118195825328,failed
2158,CC-MAIN-2021-21,114522728,3.122749027435389,denied
2164,CC-MAIN-2021-21,262843819,7.167095077840386,skipped
2183,CC-MAIN-2021-25,2455171959,74.73609822067552,success
2184,CC-MAIN-2021-25,11183164,0.340418535678593,notmodified
2186,CC-MAIN-2021-25,299978448,9.131425060322547,redirect
2189,CC-MAIN-2021-25,234856453,7.14909392591652,failed
2191,CC-MAIN-2021-25,96776770,2.945911043699617,denied
2197,CC-MAIN-2021-25,187155145,5.697053213707207,skipped
2225,CC-MAIN-2021-31,3163682448,78.2592109663594,success
2226,CC-MAIN-2021-31,19975742,0.49413486754204294,notmodified
2228,CC-MAIN-2021-31,302675792,7.487214361704458,redirect
2231,CC-MAIN-2021-31,253122744,6.261433171209282,failed
2233,CC-MAIN-2021-31,97733492,2.4176086236917413,denied
2239,CC-MAIN-2021-31,205378585,5.0803980094930745,skipped
2267,CC-MAIN-2021-39,2966078302,76.37419194214766,success
2268,CC-MAIN-2021-39,16785975,0.4322257021069338,notmodified
2270,CC-MAIN-2021-39,378454582,9.744908914765817,redirect
2273,CC-MAIN-2021-39,232438960,5.985121071787936,failed
2275,CC-MAIN-2021-39,132630205,3.4151238445614007,denied
2281,CC-MAIN-2021-39,157225310,4.048428524630253,skipped
2309,CC-MAIN-2021-43,3324131032,79.40812827299732,success
2310,CC-MAIN-2021-43,14630482,0.34949861487643613,notmodified
2312,CC-MAIN-2021-43,367739305,8.784698804395049,redirect
2315,CC-MAIN-2021-43,203497203,4.861219922879434,failed
2317,CC-MAIN-2021-43,131650568,3.1449197069307813,denied
2323,CC-MAIN-2021-43,144485883,3.451534677920988,skipped
2351,CC-MAIN-2021-49,2531182805,73.28467636110699,success
2352,CC-MAIN-2021-49,9243543,0.267625892466892,notmodified
2354,CC-MAIN-2021-49,401090769,11.612676547710874,redirect
2357,CC-MAIN-2021-49,228590793,6.618329680117198,failed
2359,CC-MAIN-2021-49,139919756,4.051060245324738,denied
2365,CC-MAIN-2021-49,143876930,4.165631273273305,skipped
2393,CC-MAIN-2022-05,2974668205,79.47904871180712,success
2394,CC-MAIN-2022-05,13244379,0.3538716156407889,notmodified
2396,CC-MAIN-2022-05,328785673,8.784701593336623,redirect
2399,CC-MAIN-2022-05,161665811,4.319488420895266,failed
2401,CC-MAIN-2022-05,135905269,3.6312021209243572,denied
2407,CC-MAIN-2022-05,128378559,3.430098767708651,skipped
2435,CC-MAIN-2022-21,3456340061,78.84283824562677,success
2436,CC-MAIN-2022-21,14268392,0.3254773843508088,notmodified
2438,CC-MAIN-2022-21,412102378,9.400498954345263,redirect
2441,CC-MAIN-2022-21,164845125,3.760294790610051,failed
2443,CC-MAIN-2022-21,133311015,3.0409677886163657,denied
2449,CC-MAIN-2022-21,202907136,4.628530243029056,skipped
2477,CC-MAIN-2022-27,3117835780,78.78763307029679,success
2478,CC-MAIN-2022-27,13339554,0.3370901997517681,notmodified
2480,CC-MAIN-2022-27,372155177,9.404352121036776,redirect
2483,CC-MAIN-2022-27,134827300,3.4070825373165823,failed
2485,CC-MAIN-2022-27,124893389,3.1560528519683104,denied
2492,CC-MAIN-2022-27,194214247,4.907789219629774,skipped
2520,CC-MAIN-2022-33,2599832705,70.43907784187752,success
2521,CC-MAIN-2022-33,14037766,0.38033496928413385,notmodified
2523,CC-MAIN-2022-33,457905521,12.406353137997193,redirect
2526,CC-MAIN-2022-33,208435120,5.64727784769562,failed
2528,CC-MAIN-2022-33,132323121,3.585122459023446,denied
2535,CC-MAIN-2022-33,278361197,7.541833744122087,skipped
2563,CC-MAIN-2022-40,3185182948,76.2406053167855,success
2564,CC-MAIN-2022-40,17270873,0.4133959754795621,notmodified
2566,CC-MAIN-2022-40,323479115,7.7428028272045335,redirect
2569,CC-MAIN-2022-40,153122530,3.6651440640695183,failed
2571,CC-MAIN-2022-40,116641634,2.791936578362892,denied
2578,CC-MAIN-2022-40,382106755,9.146115238097984,skipped
2606,CC-MAIN-2022-49,3389743574,74.78784399135048,success
2607,CC-MAIN-2022-49,20618364,0.45490254838635685,notmodified
2609,CC-MAIN-2022-49,359832033,7.938966874517477,redirect
2612,CC-MAIN-2022-49,181958126,4.014538457901209,failed
2614,CC-MAIN-2022-49,133107555,2.93674929683932,denied
2621,CC-MAIN-2022-49,447219683,9.86699883100515,skipped
2649,CC-MAIN-2023-06,3192983431,79.4298141181755,success
2650,CC-MAIN-2023-06,16239596,0.40398208118176304,notmodified
2652,CC-MAIN-2023-06,293563520,7.3027926168018045,redirect
2655,CC-MAIN-2023-06,139858672,3.479175059889271,failed
2657,CC-MAIN-2023-06,95314964,2.3710896209785526,denied
2664,CC-MAIN-2023-06,281920093,7.013146502973115,skipped
2692,CC-MAIN-2023-14,3124887981,77.46254748765058,success
2693,CC-MAIN-2023-14,15540229,0.3852252414168905,notmodified
2695,CC-MAIN-2023-14,305738613,7.5789250598167035,redirect
2698,CC-MAIN-2023-14,148111573,3.6715235319608484,failed
2700,CC-MAIN-2023-14,109948326,2.7254984741044024,denied
2707,CC-MAIN-2023-14,329836296,8.17628020505058,skipped
2735,CC-MAIN-2023-23,3147083566,74.39007645238867,success
2736,CC-MAIN-2023-23,17515925,0.4140376232654211,notmodified
2738,CC-MAIN-2023-23,331873857,7.84476200807027,redirect
2741,CC-MAIN-2023-23,178082478,4.209474859953822,failed
2743,CC-MAIN-2023-23,109575127,2.5901130058553385,denied
2750,CC-MAIN-2023-23,446384347,10.551536050466476,skipped
2778,CC-MAIN-2023-40,3460550562,75.22017698439767,success
2779,CC-MAIN-2023-40,20378958,0.44296674764713545,notmodified
2781,CC-MAIN-2023-40,402993441,8.759657578316702,redirect
2784,CC-MAIN-2023-40,218722976,4.754266892076743,failed
2786,CC-MAIN-2023-40,219872763,4.77925921051996,denied
2793,CC-MAIN-2023-40,278042879,6.043672587041792,skipped
2821,CC-MAIN-2023-50,3370910459,74.15174085137137,success
2822,CC-MAIN-2023-50,17677519,0.38886194804831914,notmodified
2824,CC-MAIN-2023-50,425031113,9.349639312073444,redirect
2827,CC-MAIN-2023-50,232223886,5.1083544412149005,failed
2829,CC-MAIN-2023-50,198112719,4.357992648373861,denied
2836,CC-MAIN-2023-50,302006975,6.643410798918107,skipped
2864,CC-MAIN-2024-10,3128032551,72.30538910238164,success
2865,CC-MAIN-2024-10,16903617,0.3907320606468436,notmodified
2867,CC-MAIN-2024-10,410546388,9.489900071349142,redirect
